transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,06/11/2023,19:56:10,1,3,Eindhoven,3.25,Tea,Chai tea
2,06/09/2023,11:41:32,1,2,Utrecht,2.0,Coffee,Black coffee
3,06/06/2023,17:33:08,2,2,Utrecht,3.5,Tea,Herbal tea
4,06/08/2023,11:02:34,1,1,Alkmaar,3.25,Tea,Chai tea
5,06/09/2023,08:56:34,5,1,Alkmaar,3.0,Tea,Black tea
6,06/06/2023,15:23:41,1,3,Eindhoven,3.75,Bakery,Sandwich
7,06/11/2023,07:59:06,1,1,Alkmaar,3.0,Bakery,Scone
8,06/06/2023,09:27:46,2,2,Utrecht,3.15,Tea,Green tea
9,06/10/2023,13:36:06,1,,Alkmaar,3.0,Tea,Black tea
10,06/07/2023,10:41:18,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
11,06/06/2023,06:37:32,4,2,Utrecht,3.5,Bakery,Pie
12,06/07/2023,08:32:55,1,3,Eindhoven,6.3,Coffee,Organic blended coffee
13,06/06/2023,13:20:56,5,2,Utrecht,4.5,Chocolate,Hot chocolate
14,06/10/2023,06:56:05,2,3,Eindhoven,3.75,Bakery,Sandwich
15,06/07/2023,17:14:58,1,1,Alkmaar,3.5,Tea,Herbal tea
16,06/06/2023,08:57:56,1,3,Eindhoven,3.0,Bakery,Scone
17,06/06/2023,16:02:08,1,2,Utrecht,3.75,Bakery,Sandwich
18,06/05/2023,08:50:09,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
19,06/06/2023,17:47:35,3,3,Eindhoven,3.15,Tea,Green tea
20,06/08/2023,08:14:51,2,1,Alkmaar,3.5,Tea,Herbal tea
21,06/07/2023,06:20:44,2,2,Utrecht,3.5,Tea,Herbal tea
22,06/09/2023,16:27:28,4,2,Utrecht,6.3,Coffee,Organic blended coffee
23,06/09/2023,17:00:19,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
24,06/11/2023,09:33:50,2,3,Eindhoven,3.25,Tea,Chai tea
25,06/10/2023,18:16:44,6,1,Alkmaar,3.0,Tea,Black tea
26,06/10/2023,11:47:47,4,2,Utrecht,2.0,Coffee,Black coffee
27,06/10/2023,08:44:08,2,3,Eindhoven,3.75,Bakery,Sandwich
28,06/09/2023,08:38:08,2,3,Eindhoven,3.5,Tea,Herbal tea
29,06/11/2023,10:17:13,2,2,Utrecht,3.5,Tea,Herbal tea
30,06/11/2023,10:34:41,2,3,Eindhoven,3.75,Bakery,Sandwich
31,06/10/2023,09:56:56,1,2,Utrecht,3.5,Tea,Herbal tea
32,06/10/2023,08:44:32,,1,Alkmaar,4.5,Chocolate,Hot chocolate
33,06/06/2023,10:08:19,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
34,06/06/2023,08:06:42,4,1,Alkmaar,6.3,Coffee,Organic blended coffee
35,06/10/2023,18:37:36,2,3,Eindhoven,3.15,Tea,Green tea
36,06/10/2023,14:47:26,1,1,Alkmaar,3.5,Coffee,Milk coffee
37,06/07/2023,16:59:51,1,2,Utrecht,3.75,Bakery,Sandwich
38,06/11/2023,17:11:33,1,2,Utrecht,4.5,Chocolate,Hot chocolate
39,06/10/2023,11:56:46,2,1,Alkmaar,3.75,Bakery,Sandwich
40,06/11/2023,16:06:35,1,2,Utrecht,4.5,Chocolate,Hot chocolate
41,06/10/2023,11:06:06,2,2,Utrecht,3.75,Bakery,Sandwich
42,06/06/2023,08:03:00,2,1,Alkmaar,3.0,Bakery,Scone
43,06/09/2023,16:04:41,2,1,Alkmaar,3.0,Tea,Black tea
44,06/10/2023,09:30:27,3,1,Alkmaar,3.0,Bakery,Scone
45,06/10/2023,10:16:27,2,2,Utrecht,3.75,Bakery,Sandwich
46,06/07/2023,11:36:53,2,2,Utrecht,3.5,Bakery,Pie
47,06/11/2023,13:22:08,2,1,Alkmaar,3.15,Tea,Green tea
48,06/06/2023,19:42:56,4,1,Alkmaar,2.0,Coffee,Black coffee
49,06/08/2023,13:15:05,2,1,Alkmaar,3.25,Tea,Chai tea
50,06/06/2023,11:19:50,2,1,Alkmaar,3.0,Bakery,Scone
51,06/06/2023,10:40:24,2,3,Eindhoven,3.0,Bakery,Scone
52,06/09/2023,08:53:07,2,2,Utrecht,4.5,Chocolate,Hot chocolate
53,06/06/2023,08:21:23,2,1,Alkmaar,6.3,Coffee,Organic blended coffee
54,06/11/2023,14:16:45,1,3,Eindhoven,3.5,Bakery,Pie
55,06/09/2023,11:50:52,1,1,Alkmaar,6.3,Coffee,Organic blended coffee
56,06/06/2023,08:44:35,3,1,Alkmaar,3.5,Bakery,Pie
57,06/10/2023,17:42:37,1,1,Alkmaar,2.0,Coffee,Black coffee
58,06/07/2023,08:16:13,3,1,Alkmaar,3.5,Coffee,Milk coffee
59,06/05/2023,08:56:18,6,3,Eindhoven,4.5,Chocolate,Hot chocolate
60,06/11/2023,11:08:53,1,2,Utrecht,3.5,Bakery,Pie
61,06/07/2023,18:59:32,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
62,06/10/2023,11:38:02,2,2,Utrecht,3.15,Tea,Green tea
63,06/10/2023,08:25:56,1,3,Eindhoven,3.5,Bakery,Pie
64,06/11/2023,16:07:25,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
65,06/11/2023,18:14:48,1,3,Eindhoven,3.25,Tea,Chai tea
66,06/08/2023,12:29:56,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
67,06/08/2023,10:07:08,1,3,Eindhoven,3.0,Tea,Black tea
68,06/06/2023,09:20:31,3,3,Eindhoven,3.75,Bakery,Sandwich
69,06/11/2023,08:51:03,2,3,Eindhoven,3.0,Bakery,Scone
70,06/11/2023,10:48:02,1,2,Utrecht,4.5,Chocolate,Hot chocolate
71,06/07/2023,16:53:12,2,2,Utrecht,2.0,Coffee,Black coffee
72,06/06/2023,10:47:06,1,3,Eindhoven,3.5,Bakery,Pie
73,06/09/2023,16:46:27,2,2,Utrecht,4.5,Chocolate,Hot chocolate
74,06/10/2023,18:00:33,2,1,Alkmaar,3.75,Bakery,Sandwich
75,06/09/2023,19:37:07,1,2,Utrecht,4.5,Chocolate,Hot chocolate
76,06/09/2023,09:44:19,6,2,Utrecht,3.5,Bakery,Pie
77,06/08/2023,08:37:31,1,2,Utrecht,3.5,Tea,Herbal tea
78,06/08/2023,07:57:19,3,3,Eindhoven,6.3,Coffee,Organic blended coffee
79,06/11/2023,10:25:18,1,3,Eindhoven,3.25,Tea,Chai tea
80,06/05/2023,13:21:32,3,1,Alkmaar,3.5,Coffee,Milk coffee
81,06/11/2023,16:50:09,1,2,Utrecht,4.25,Coffee,Syrup coffee
82,06/08/2023,09:40:32,2,1,Alkmaar,4.25,Coffee,Syrup coffee
83,06/11/2023,10:03:19,2,3,Eindhoven,3.5,Bakery,Pie
84,06/08/2023,06:57:00,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
85,06/08/2023,15:44:39,1,3,Eindhoven,6.3,Coffee,Organic blended coffee
86,06/11/2023,14:41:52,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
87,06/11/2023,14:03:55,1,3,Eindhoven,3.5,Tea,Herbal tea
88,06/07/2023,08:58:38,1,3,Eindhoven,3.0,Bakery,Scone
89,06/05/2023,10:21:23,1,2,Utrecht,4.5,Chocolate,Hot chocolate
90,06/07/2023,10:58:16,1,3,Eindhoven,3.25,Tea,Chai tea
91,06/08/2023,14:40:48,2,1,Alkmaar,3.5,Tea,Herbal tea
92,06/10/2023,10:05:09,3,2,Utrecht,2.0,Coffee,Black coffee
93,06/07/2023,17:38:16,1,3,Eindhoven,3.5,Bakery,Pie
94,06/06/2023,11:37:05,2,2,Utrecht,3.5,Coffee,Milk coffee
95,06/11/2023,18:26:03,4,3,Eindhoven,3.15,Tea,Green tea
96,06/06/2023,18:38:55,1,2,Utrecht,4.5,Chocolate,Hot chocolate
97,06/06/2023,09:17:48,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
98,06/10/2023,17:55:58,3,2,Utrecht,3.15,Tea,Green tea
99,06/10/2023,08:17:36,2,1,Alkmaar,3.5,Coffee,Milk coffee
100,06/06/2023,14:00:07,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
101,06/05/2023,08:12:27,2,1,Alkmaar,3.5,Bakery,Pie
102,06/08/2023,10:24:28,2,1,Alkmaar,3.5,Bakery,Pie
103,06/06/2023,10:27:51,1,3,Eindhoven,3.0,Bakery,Scone
104,06/09/2023,08:47:23,1,1,Alkmaar,3.25,Tea,Chai tea
105,06/08/2023,08:26:17,4,2,Utrecht,4.5,Chocolate,Hot chocolate
106,06/07/2023,17:06:00,4,3,Eindhoven,3.5,Bakery,Pie
107,06/09/2023,13:28:01,4,,Utrecht,3.5,Bakery,Pie
108,06/09/2023,08:44:21,2,2,Utrecht,4.5,Chocolate,Hot chocolate
109,06/09/2023,13:49:08,2,2,Utrecht,3.5,Bakery,Pie
110,06/11/2023,13:35:55,2,2,Utrecht,3.5,Coffee,Milk coffee
111,06/10/2023,11:45:10,2,1,Alkmaar,3.0,Bakery,Scone
112,06/10/2023,11:08:59,1,2,Utrecht,2.0,Coffee,Black coffee
113,06/10/2023,14:51:17,2,2,Utrecht,3.15,Tea,Green tea
114,06/06/2023,12:45:23,2,2,Utrecht,3.0,Bakery,Scone
115,06/07/2023,08:25:20,2,2,Utrecht,3.5,Bakery,Pie
116,06/11/2023,08:22:20,2,3,Eindhoven,4.25,Coffee,Syrup coffee
117,06/09/2023,11:39:03,4,3,Eindhoven,6.3,Coffee,Organic blended coffee
118,06/09/2023,08:53:04,2,2,Utrecht,3.0,Bakery,Scone
119,06/09/2023,17:29:17,2,1,Alkmaar,3.25,Tea,Chai tea
120,06/07/2023,10:20:49,2,1,Alkmaar,3.5,Tea,Herbal tea
121,06/08/2023,08:08:03,2,2,Utrecht,3.15,Tea,Green tea
